type,dep,dest,cars,3_arr,3_dep,2_arr,2_dep,1_arr,1_dep,arr
local,0650,taka,6,0624,0630,0635,0637,0639,0640,0645
local,0715,taka,6,0656,0659,0704,0704,0706,0707,0713
local,0748,taka,4,0731,0734,0738,0739,0741,0741,0747
local,0804,kiri,6,0745,0746,0750,0750,0752,0753,0758
local,0820,kiri,4,0805,0806,0810,0811,0813,0814,0819
local,0850,taka,4,0835,0837,0841,0841,0843,0844,0849
local,0946,taka,4,0925,0926,0931,0931,0933,0934,0939
local,1013,taka,0,0956,0959,1003,1004,1005,1006,1012
local,1103,taka,0,1043,1046,1050,1053,1055,1056,1102
local,1143,taka,0,1129,1130,1134,1134,1136,1137,1142
local,1243,taka,6,1228,1229,1233,1234,1136,1236,1242
local,1343,taka,4,1328,1329,1333,1334,1336,1336,1342
local,1443,taka,0,1428,1429,1433,1434,1436,1436,1442
local,1543,taka,4,1528,1529,1533,1534,1536,1536,1542
local,1645,taka,4,1628,1631,1635,1635,1637,1638,1644
local,1728,taka,4,1712,1714,1718,1718,1720,1721,1727
local,1808,taka,4,1753,1754,1758,1758,1800,1801,1807
local,1844,taka,6,1826,1827,1831,1832,1833,1834,1840
local,1911,taka,6,1857,1858,1902,1902,1904,1905,1910
local,1943,taka,4,1927,1930,1934,1934,1936,1937,1942
local,2015,taka,6,1959,2001,2005,2006,2008,2008,2014
local,2051,taka,6,2033,2034,2039,2039,2041,2042,2048
local,2121,taka,4,2107,2108,2112,2112,2114,2115,2121
last,2212,taka,4,2157,2158,2203,2203,2205,2206,2211
local,2301,kiri,6,2244,2246,2251,2253,2255,2255,2301
last,2351,kiri,4,2338,2338,2343,2343,2345,2345,2351
